folder	movie	root_subtitle_count	subdir_move_count	note
/Volumes/导演们/奥塔·埃索里亚尼/托斯卡的小修道院	/Volumes/导演们/奥塔·埃索里亚尼/托斯卡的小修道院/托斯卡纳的小修道院.Un.petit.monastere.en.Toscane.1988.mp4	1	0	paired sidecar: 托斯卡的小修道院.sub
/Volumes/导演们/奥塔·埃索里亚尼/秋天的花园	/Volumes/导演们/奥塔·埃索里亚尼/秋天的花园/秋天的花园.Jardins.en.automne.2006.avi	1	0	paired sidecar: Jardins.en.automne.sub
/Volumes/导演们/奥塔·埃索里亚尼/落叶	/Volumes/导演们/奥塔·埃索里亚尼/落叶/落叶.Otar.Iosseliani-Giorgobistve.(.Falling.Leaves.).1966.mp4	1	0	paired sidecar: 落叶.Otar.Iosseliani-Giorgobistve.(.Falling.Leaves.).1966.sub
/Volumes/导演们/奥塔·埃索里亚尼/追逐蝴蝶	/Volumes/导演们/奥塔·埃索里亚尼/追逐蝴蝶/1992.追逐蝴蝶.Otar.Iosseliani.-.1992.-.La.Chasse.aux.papillons.mp4	1	0	paired sidecar: 1992.追逐蝴蝶.Otar.Iosseliani.-.1992.-.La.Chasse.aux.papillons.sub
/Volumes/导演们/彼得·格林纳威/挨个儿淹死	/Volumes/导演们/彼得·格林纳威/挨个儿淹死/淹死老公.Drowning.by.Numbers.1988.avi	1	0	paired sidecar: 淹死老公.chs.sub
/Volumes/导演们/彼得·格林纳威/画师的合同	/Volumes/导演们/彼得·格林纳威/画师的合同/画师的合同.The.Draughtsmans.Contract.1982.Eng.DVDRip.avi	1	0	paired sidecar: 画师的合同.The_Draughtsman_s_Contract_[Eng]_[DVDRip].sub
/Volumes/导演们/布莱恩·德·帕尔玛/危情羔羊	/Volumes/导演们/布莱恩·德·帕尔玛/危情羔羊/危情羔羊.Raising.Cain.1992.DVDRiP.XviD-Grand.mkv	1	0	
/Volumes/导演们/布莱恩·德·帕尔玛/愤怒	/Volumes/导演们/布莱恩·德·帕尔玛/愤怒/魔血.The.Fury.1978.DVDRip.XviD-Smokey888.tehPARADOX.com.avi	1	0	
/Volumes/导演们/布莱恩·德·帕尔玛/黑街福星	/Volumes/导演们/布莱恩·德·帕尔玛/黑街福星/黑街福星.Wise.Guys.1986.DVDRip.XviD-SAPHiRE.mkv	1	0	paired sidecar: 黑街福星.Wise.Guys.1986.DVDRip.XviD-SAPHiRE.chs.sub
/Volumes/导演们/成濑巳喜男/不是血親	/Volumes/导演们/成濑巳喜男/不是血親/不是血親.No.Blood.Relation.1932.DVDRip.XviD-WRD.mkv	1	0	paired sidecar: No.Blood.Relation.1932.DVDRip.XviD-WRD.sub
