folder	reason	detail
/Volumes/导演们/米洛斯·福尔曼/爵士年代	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/约翰·福特	not a single movie folder	movies=15 subtitles=0 subdirs=3 other_files=0
/Volumes/导演们/约翰·福特/安邦定国志	not a single movie folder	movies=2 subtitles=2 subdirs=0 other_files=0
/Volumes/导演们/约翰·福特/荒漠义侠[字幕需调整]	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/约翰·卡萨维茨	not a single movie folder	movies=2 subtitles=0 subdirs=9 other_files=0
/Volumes/导演们/约翰·卡萨维茨/买起唐人经纪	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/约翰·卡萨维茨/天下父母心	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/约翰·卡萨维茨/夫君	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/约翰·卡萨维茨/影子	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/约翰·卡萨维茨/权势下的女人	not a single movie folder	movies=2 subtitles=2 subdirs=0 other_files=0
/Volumes/导演们/约翰·卡萨维茨/爱的激流	not a single movie folder	movies=2 subtitles=0 subdirs=0 other_files=4
/Volumes/导演们/约翰·卡萨维茨/面孔	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/约翰·卡萨维茨/首演之夜	not a single movie folder	movies=2 subtitles=2 subdirs=0 other_files=0
/Volumes/导演们/阿彼察邦·韦拉斯哈古	not a single movie folder	movies=3 subtitles=0 subdirs=3 other_files=3
/Volumes/导演们/阿彼察邦·韦拉斯哈古/热带疾病	not a single movie folder	movies=2 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/阿诺·德斯普里钦	not a single movie folder	movies=7 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/蒂姆·波顿	not a single movie folder	movies=3 subtitles=0 subdirs=0 other_files=1
